Fecha de esterilización;Codigo Departamento;Departamento;Codigo Municipio;Municipio;Latitud;Longitud;Lugar del Municipio ;Sexo;Tipo de Animal;Total Esterizaciones
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Machos;Canino;6
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Hembras;Felinos;23
30/08/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Polideportivo;Machos;Felinos;3
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Hembras;Canino;14
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Machos;Canino;8
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Hembras;Felinos;11
3/09/2024;76;Valle del Cauca;76130;Cartago;3.409.347.509.461.260;-7.634.781.797.045.050;Coliseo Isleta;Machos;Felinos;7
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Hembras;Canino;10
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Machos;Canino;12
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Hembras;Felinos;29
5/09/2024;76;Valle del Cauca;76563;Pradera;342.039.795.490.065;-7.624.224.754.962.120;Coliseo Margaritas;Machos;Felinos;3
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Hembras;Canino;7
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Machos;Canino;4
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Hembras;Felinos;24
6/09/2024;76;Valle del Cauca;76233;Dagua;3.657.627.442.965.970;-7.669.363.723.243.510;Casa de la mujer;Machos;Felinos;13
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Hembras;Canino;21
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Machos;Canino;8
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Hembras;Felinos;12
9/09/2024;76;Valle del Cauca;76834;Tuluá;40.863.619.224.404.000;-761.976.832.422.381;Coliseo de ferias;Machos;Felinos;10
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Hembras;Canino;17
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Machos;Canino;12
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Hembras;Felinos;13
10/09/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;P. bosque municipal;Machos;Felinos;11
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Hembras;Canino;15
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Machos;Canino;12
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Hembras;Felinos;14
11/09/2024;76;Valle del Cauca;76306;Ginebra;37.242.860.580.405.500;-7.626.912.574.961.950;Parque Principal;Machos;Felinos;5
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Hembras;Canino;12
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Machos;Canino;7
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Hembras;Felinos;14
12/09/2024;76;Valle del Cauca;76126;Candelaria;3.954.626.129.719.530;-7.648.322.146.220.290;Parque Principal;Machos;Felinos;6
1/10/2024;76;Valle del Cauca;76250;El Dovio;4.511.535.642.587.150;-7.623.859.573.427.440;Parque Principal;Hembras;Canino;20
1/10/2024;76;Valle del Cauca;76250;El Dovio;4.511.535.642.587.150;-7.623.859.573.427.440;Parque Principal;Machos;Canino;11
1/10/2024;76;Valle del Cauca;76250;El Dovio;4.511.535.642.587.150;-7.623.859.573.427.440;Parque Principal;Hembras;Felinos;5
1/10/2024;76;Valle del Cauca;76250;El Dovio;4.511.535.642.587.150;-7.623.859.573.427.440;Parque Principal;Machos;Felinos;9
2/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Hembras;Canino;20
2/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Machos;Canino;11
2/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Hembras;Felinos;11
2/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Machos;Felinos;12
3/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Hembras;Canino;11
3/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Machos;Canino;6
3/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Hembras;Felinos;26
3/10/2024;76;Valle del Cauca;76823;Toro;4.609.528.083.935.290;-7.607.870.492.077.870;Coliseo J.J;Machos;Felinos;12
4/10/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Las Americas;Hembras;Canino;17
4/10/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Las Americas;Machos;Canino;9
4/10/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Las Americas;Hembras;Felinos;17
4/10/2024;76;Valle del Cauca;76892;Yumbo;3.583.946.637.769.680;-764.957.929.342.804;Las Americas;Machos;Felinos;12
8/10/2024;76;Valle del Cauca;76863;Versalles;4.575.218.793.742.650;-7.619.998.899.009.910;Parque Principal;Hembras;Canino;20
8/10/2024;76;Valle del Cauca;76863;Versalles;4.575.218.793.742.650;-7.619.998.899.009.910;Parque Principal;Machos;Canino;5
8/10/2024;76;Valle del Cauca;76863;Versalles;4.575.218.793.742.650;-7.619.998.899.009.910;Parque Principal;Hembras;Felinos;17
8/10/2024;76;Valle del Cauca;76863;Versalles;4.575.218.793.742.650;-7.619.998.899.009.910;Parque Principal;Machos;Felinos;10
9/10/2024;76;Valle del Cauca;76400;La Unión;4.532.601.332.956.810;-761.031.371.553.172;Parque San Pedro;Hembras;Canino;19
9/10/2024;76;Valle del Cauca;76400;La Unión;4.532.601.332.956.810;-761.031.371.553.172;Parque San Pedro;Machos;Canino;15
9/10/2024;76;Valle del Cauca;76400;La Unión;4.532.601.332.956.810;-761.031.371.553.172;Parque San Pedro;Hembras;Felinos;15
9/10/2024;76;Valle del Cauca;76400;La Unión;4.532.601.332.956.810;-761.031.371.553.172;Parque San Pedro;Machos;Felinos;7
10/10/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Coliseo Sacúdete;Hembras;Canino;24
10/10/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Coliseo Sacúdete;Machos;Canino;7
10/10/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Coliseo Sacúdete;Hembras;Felinos;9
10/10/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Coliseo Sacúdete;Machos;Felinos;5
16/10/2024;76;Valle del Cauca;76109;Buenaventura;38.881.255.623.730.300;-770.772.024.784.535;Plazoleta Alcaldía;Hembras;Canino;11
16/10/2024;76;Valle del Cauca;76109;Buenaventura;38.881.255.623.730.300;-770.772.024.784.535;Plazoleta Alcaldía;Machos;Canino;4
16/10/2024;76;Valle del Cauca;76109;Buenaventura;38.881.255.623.730.300;-770.772.024.784.535;Plazoleta Alcaldía;Hembras;Felinos;6
16/10/2024;76;Valle del Cauca;76109;Buenaventura;38.881.255.623.730.300;-770.772.024.784.535;Plazoleta Alcaldía;Machos;Felinos;4
17/10/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;Parque Bosque Municipal Wuepa;Hembras;Canino;20
17/10/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;Parque Bosque Municipal Wuepa;Machos;Canino;9
17/10/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;Parque Bosque Municipal Wuepa;Hembras;Felinos;16
17/10/2024;76;Valle del Cauca;76275;Florida;33.261.397.334.542.100;-7.623.609.414.593.200;Parque Bosque Municipal Wuepa;Machos;Felinos;11
22/10/2024;76;Valle del Cauca;76606;Restrepo;38.230.390.527.282;-765.236.614.348.787;Coliseo Municipal;Hembras;Canino;21
22/10/2024;76;Valle del Cauca;76606;Restrepo;38.230.390.527.282;-765.236.614.348.787;Coliseo Municipal;Machos;Canino;6
22/10/2024;76;Valle del Cauca;76606;Restrepo;38.230.390.527.282;-765.236.614.348.787;Coliseo Municipal;Hembras;Felinos;13
22/10/2024;76;Valle del Cauca;76606;Restrepo;38.230.390.527.282;-765.236.614.348.787;Coliseo Municipal;Machos;Felinos;12
23/10/2024;76;Valle del Cauca;76147;Calima El Darién;4.748.152.919.626.550;-75.909.547.603.593;Coliseo CIC;Hembras;Canino;16
23/10/2024;76;Valle del Cauca;76147;Calima El Darién;4.748.152.919.626.550;-75.909.547.603.593;Coliseo CIC;Machos;Canino;8
23/10/2024;76;Valle del Cauca;76147;Calima El Darién;4.748.152.919.626.550;-75.909.547.603.593;Coliseo CIC;Hembras;Felinos;4
23/10/2024;76;Valle del Cauca;76147;Calima El Darién;4.748.152.919.626.550;-75.909.547.603.593;Coliseo CIC;Machos;Felinos;5
29/10/2024;76;Valle del Cauca;76113;Bugalagrande;4.212.412.493.281.150;-7.615.708.514.777.160;Coliseo Hector Daniel Useche;Hembras;Canino;8
29/10/2024;76;Valle del Cauca;76113;Bugalagrande;4.212.412.493.281.150;-7.615.708.514.777.160;Coliseo Hector Daniel Useche;Machos;Canino;9
29/10/2024;76;Valle del Cauca;76113;Bugalagrande;4.212.412.493.281.150;-7.615.708.514.777.160;Coliseo Hector Daniel Useche;Hembras;Felinos;12
29/10/2024;76;Valle del Cauca;76113;Bugalagrande;4.212.412.493.281.150;-7.615.708.514.777.160;Coliseo Hector Daniel Useche;Machos;Felinos;9
30/10/2024;76;Valle del Cauca;76828;Trujillo;4.212.646.994.116.010;-763.181.359.459.268;Plazoleta Alcaldía;Hembras;Canino;21
30/10/2024;76;Valle del Cauca;76828;Trujillo;4.212.646.994.116.010;-763.181.359.459.268;Plazoleta Alcaldía;Machos;Canino;11
30/10/2024;76;Valle del Cauca;76828;Trujillo;4.212.646.994.116.010;-763.181.359.459.268;Plazoleta Alcaldía;Hembras;Felinos;12
30/10/2024;76;Valle del Cauca;76828;Trujillo;4.212.646.994.116.010;-763.181.359.459.268;Plazoleta Alcaldía;Machos;Felinos;6
5/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Hembras;Canino;12
5/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Machos;Canino;5
5/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Hembras;Felinos;15
5/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Machos;Felinos;15
6/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Hembras;Canino;19
6/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Machos;Canino;13
6/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Hembras;Felinos;11
6/11/2024;76;Valle del Cauca;76036;Andalucía;4.168.989.102.976.250;-761.668.151.477.719;Sacúdete;Machos;Felinos;12
7/11/2024;76;Valle del Cauca;76670;San Pedro;39.961.411.896.037.800;-7.622.749.914.777.300;Alcaldía;Hembras;Canino;15
7/11/2024;76;Valle del Cauca;76670;San Pedro;39.961.411.896.037.800;-7.622.749.914.777.300;Alcaldía;Machos;Canino;7
7/11/2024;76;Valle del Cauca;76670;San Pedro;39.961.411.896.037.800;-7.622.749.914.777.300;Alcaldía;Hembras;Felinos;10
